continent,population
North America,103000
North America,8000
North America,217000
North America,68000
North America,307000
North America,241000
North America,65000
North America,270000
North America,31147000
North America,4023000
North America,11201000
North America,38000
North America,71000
North America,8495000
North America,456000
North America,94000
North America,56000
North America,11385000
North America,6485000
North America,8222000
North America,2583000
North America,38000
North America,154000
North America,98881000
North America,11000
North America,395000
North America,5074000
North America,2856000
North America,3869000
North America,6276000
North America,7000
North America,17000
North America,1295000
North America,278357000
North America,114000
North America,21000
North America,93000
South America,37032000
South America,8329000
South America,170115000
South America,15211000
South America,42321000
South America,12646000
South America,2000
South America,181000
South America,861000
South America,25662000
South America,5496000
South America,417000
South America,3337000
South America,24170000
